distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
0.859897172,69,28,7.5,0,10,75,8,29.82,0
0.628534704,69,28,7.5,0,10,77,5,29.85,0
0.397172237,69,28,7.5,0,10,70,0,29.89,5418
0.165809769,69,28,7.5,0,10,33,0,29.91,25477
0.065552699,69,28,7.5,0,10,21,3,29.89,30069
0.296915167,69,28,7.5,0,10,20,23,29.85,16280
0.528277635,69,28,7.5,0,10,36,15,29.83,515
0.759640103,69,28,7.5,0,10,49,6,29.86,0
0.862113402,72,29,6.8,0,10,67,6,29.86,0
0.630154639,72,29,6.8,0,10,49,0,29.87,0
0.398195876,72,29,6.8,0,10,54,0,29.9,4939
0.166237113,72,29,6.8,0,10,64,0,29.92,24335
0.065721649,72,29,6.8,0,10,23,9,29.88,29025
0.297680412,72,29,6.8,0,10,30,18,29.84,15408
0.529639175,72,29,6.8,0,10,65,11,29.84,491
0.761597938,72,29,6.8,0,10,75,5,29.85,0
0.86545925,73,29,7.9,0,10,72,6,29.84,0
0.632600259,73,29,7.9,0,10,78,6,29.86,0
0.399741268,73,29,7.9,0,10,63,0,29.88,4854
0.166882277,73,29,7.9,0,10,69,3,29.88,23855
0.065976714,73,29,7.9,0,10,33,10,29.84,28339
0.298835705,73,29,7.9,0,10,27,20,29.81,15308
0.531694696,73,29,7.9,0,10,53,14,29.81,455
0.764553687,73,29,7.9,0,10,70,6,29.85,0
0.86770428,76,30,6.9,0,10,73,0,29.83,0
0.634241245,76,30,6.9,0,10,78,6,29.82,0
0.40077821,76,30,6.9,0,10,70,0,29.84,4750
0.167315175,76,30,6.9,0,10,64,3,29.85,23555
0.06614786,76,30,6.9,0,10,62,6,29.79,27741
0.299610895,76,30,6.9,0,10,30,15,29.75,14917
0.53307393,76,30,6.9,0,10,27,17,29.74,429
0.766536965,76,30,6.9,0,10,33,5,29.77,0
0.869791667,77,29,8.5,0,10,53,3,29.77,0
0.635416667,77,29,8.5,0,10,70,7,29.76,0
0.401041667,77,29,8.5,0,10,61,0,29.8,4804
0.166666667,77,29,8.5,0,10,64,3,29.82,23551
0.067708333,77,29,8.5,0,10,49,5,29.78,27963
0.302083333,77,29,8.5,0,10,19,22,29.75,14980
0.536458333,77,29,8.5,0,10,51,15,29.76,423
0.770833333,77,29,8.5,0,10,37,8,29.79,0
0.870925684,75,30,8.6,1,10,57,6,29.78,0
0.636245111,75,30,8.6,1,10,73,3,29.78,0
0.401564537,75,30,8.6,1,10,52,3,29.81,4562
0.166883963,75,30,8.6,1,10,66,3,29.82,22761
0.06779661,75,30,8.6,0,10,29,16,29.79,28193
0.302477184,75,30,8.6,0,10,39,18,29.75,14835
0.537157757,75,30,8.6,0,10,57,14,29.74,375
0.771838331,75,30,8.6,0,10,65,8,29.76,0
0.873036649,62,29,14.9,1,10,81,8,29.76,0
0.637434555,62,29,14.9,1,10,87,7,29.74,0
0.401832461,62,29,14.9,1,10,84,8,29.76,2963
0.166230366,62,29,14.9,1,10,68,14,29.77,24553
0.069371728,62,29,14.9,1,10,61,22,29.73,29986
0.304973822,62,29,14.9,1,10,70,25,29.71,15403
0.540575916,62,29,14.9,1,10,87,22,29.73,379
0.77617801,62,29,14.9,1,10,90,13,29.75,0
0.875328084,64,31,5.8,3,10,90,7,29.76,0
0.639107612,64,31,5.8,4,10,87,5,29.75,0
0.402887139,64,31,5.8,4,9,87,0,29.77,249
0.166666667,64,31,5.8,1,9,73,5,29.78,9910
0.069553806,64,31,5.8,1,10,59,10,29.75,28515
0.305774278,64,31,5.8,1,10,61,14,29.7,17490
0.541994751,64,31,5.8,1,10,73,6,29.72,773
0.778215223,64,31,5.8,1,10,87,6,29.75,0
0.878787879,63,21,10.5,3,10,84,7,29.76,0
0.641633729,63,21,10.5,3,10,78,7,29.75,0
0.404479578,63,21,10.5,4,10,81,8,29.78,65
0.167325428,63,21,10.5,4,10,73,5,29.8,5219
0.069828722,63,21,10.5,1,10,63,15,29.76,10789
0.306982872,63,21,10.5,1,10,68,20,29.74,5208
0.544137022,63,21,10.5,1,10,78,7,29.74,60
0.781291173,63,21,10.5,3,10,81,13,29.76,0
0.880952381,64,28,9.7,3,10,81,7,29.76,0
0.642857143,64,28,9.7,4,10,81,7,29.77,0
0.404761905,64,28,9.7,4,10,78,7,29.8,1346
0.166666667,64,28,9.7,3,10,68,3,29.84,18380
0.071428571,64,28,9.7,1,10,59,16,29.81,28891
0.30952381,64,28,9.7,1,10,63,18,29.8,14687
0.547619048,64,28,9.7,1,10,81,15,29.82,345
0.785714286,64,28,9.7,1,10,84,8,29.85,0
0.883289125,61,29,11.4,2,10,87,10,29.85,0
0.644562334,61,29,11.4,4,10,87,3,29.85,0
0.405835544,61,29,11.4,4,8,84,3,29.87,292
0.167108753,61,29,11.4,2,10,73,3,29.87,10767
0.071618037,61,29,11.4,1,10,68,21,29.84,27641
0.310344828,61,29,11.4,1,10,75,23,29.81,13835
0.549071618,61,29,11.4,1,10,87,18,29.83,145
0.787798408,61,29,11.4,1,10,87,10,29.86,0
0.886817577,60,28,11.7,3,10,90,13,29.87,0
0.64713715,60,28,11.7,3,10,83,8,29.87,0
0.407456724,60,28,11.7,4,10,86,5,29.9,229
0.167776298,60,28,11.7,4,9,81,7,29.93,4349
0.071904128,60,28,11.7,1,10,68,16,29.88,19126
0.311584554,60,28,11.7,1,10,73,21,29.85,14692
0.55126498,60,28,11.7,3,10,80,13,29.88,436
0.790945406,60,28,11.7,3,10,86,9,29.9,0
0.886666667,61,29,9,3,10,80,8,29.9,0
0.646666667,61,29,9,4,10,80,6,29.87,0
0.406666667,61,29,9,4,10,83,5,29.9,408
0.166666667,61,29,9,4,10,72,3,29.93,11376
0.073333333,61,29,9,2,10,61,16,29.89,28611
0.313333333,61,29,9,2,10,65,17,29.86,14587
0.553333333,61,29,9,1,10,81,14,29.89,239
0.793333333,61,29,9,1,10,83,7,29.93,0
0.890227577,62,29,10.1,4,10,83,5,29.94,0
0.649263722,62,29,10.1,4,10,87,3,29.94,0
0.408299866,62,29,10.1,4,10,84,5,29.97,250
0.167336011,62,29,10.1,3,9,73,7,30,15149
0.073627845,62,29,10.1,1,10,63,15,29.96,28581
0.3145917,62,29,10.1,1,10,68,21,29.94,13787
0.555555556,62,29,10.1,1,10,78,18,29.97,218
0.796519411,62,29,10.1,1,10,83,13,29.99,0
0.89261745,60,28,12.6,3,10,86,9,29.99,0
0.651006711,60,28,12.6,4,10,87,7,29.97,0
0.409395973,60,28,12.6,4,7,90,7,30.01,413
0.167785235,60,28,12.6,3,7,78,5,30.01,17412
0.073825503,60,28,12.6,1,10,63,16,29.95,28239
0.315436242,60,28,12.6,1,10,70,22,29.92,13397
0.55704698,60,28,12.6,1,10,83,18,29.94,193
0.798657718,60,28,12.6,1,10,90,13,29.96,0
0.894878706,59,28,12.7,2,10,90,11,29.97,0
0.652291105,59,28,12.7,3,10,83,9,29.96,0
0.409703504,59,28,12.7,4,9,83,9,29.97,685
0.167115903,59,28,12.7,3,10,72,7,29.98,16170
0.075471698,59,28,12.7,1,10,63,21,29.94,28148
0.318059299,59,28,12.7,2,10,67,20,29.92,13455
0.5606469,59,28,12.7,1,10,80,14,29.95,198
0.803234501,59,28,12.7,2,10,78,11,29.99,0
0.897297297,62,24,9.6,4,10,75,10,30,0
0.654054054,62,24,9.6,4,10,72,7,29.99,0
0.410810811,62,24,9.6,4,10,70,3,30.03,332
0.167567568,62,24,9.6,4,10,63,10,30.07,5866
0.075675676,62,24,9.6,2,10,52,10,30.04,22094
0.318918919,62,24,9.6,0,10,54,17,30.01,13893
0.562162162,62,24,9.6,0,10,70,9,30,154
0.805405405,62,24,9.6,0,10,72,6,30.01,0
0.900949796,60,26,7.9,1,10,78,6,30.01,0
0.656716418,60,26,7.9,1,10,86,0,29.99,0
0.412483039,60,26,7.9,1,10,83,0,30.02,4342
